city,province,site,population,region
Onano,VT,http://www.comune.onano.vt.it/,990.0,Lazio
Pontremoli,MS,http://www.comune.pontremoli.ms.it/,7193.0,Toscana
Maser,TV,http://www.comune.maser.tv.it/,5094.0,Veneto
Castelnovo del Friuli,PN,http://www.comune.castelnovo-del-friuli.pn.it,864.0,Friuli-Venezia Giulia
Chions,PN,http://www.comune.chions.pn.it/,5180.0,Friuli-Venezia Giulia
Montereale Valcellina,PN,http://www.comune.monterealevalcellina.pn.it,4365.0,Friuli-Venezia Giulia
Moltrasio,CO,http://www.comune.moltrasio.co.it,1621.0,Lombardia
Russi,RA,http://www.comune.russi.ra.it,12309.0,Emilia-Romagna
Trivigno,PZ,http://www.comunetrivigno.gov.it,660.0,Basilicata
Ortignano Raggiolo,AR,http://www.comune.ortignano-raggiolo.ar.it,881.0,Toscana
Castelbaldo,PD,http://www.comune.castelbaldo.pd.it/,1512.0,Veneto
Porto Viro,RO,http://www.comune.portoviro.ro.it,14298.0,Veneto
Vernole,LE,http://www.comunedivernole.it/,7062.0,Puglia
Tuglie,LE,http://www.tuglie.com,5213.0,Puglia
Zerfaliu,OR,http://www.comune.zerfaliu.or.it,1075.0,Sardegna
Attimis,UD,http://www.comune.attimis.ud.it,1744.0,Friuli-Venezia Giulia
Sacile,PN,http://www.comune.sacile.pn.it,19905.0,Friuli-Venezia Giulia
Belcastro,CZ,http://www.comune.belcastro.cz.it,1387.0,Calabria
Piazzola sul Brenta,PD,http://www.comune.piazzola.pd.it,11189.0,Veneto
Albano Laziale,ROMA,http://www.comune.albanolaziale.roma.it,41314.0,Lazio
Galzignano Terme,PD,http://www.galzignanoterme.org,4321.0,Veneto
Alessano,LE,http://www.comune.alessano.le.it/hh/index.php,6371.0,Puglia
Arcene,BG,http://www.comune.arcene.bg.it,4868.0,Lombardia
Sant'Agata sul Santerno,RA,http://www.comune.santagatasulsanterno.ra.it/,2918.0,Emilia-Romagna
Villa di Serio,BG,http://www.comune.villadiserio.bg.it/,6777.0,Lombardia
Farra d'Isonzo,GO,http://www.comune.farra.go.it,1717.0,Friuli-Venezia Giulia
Santa Caterina dello Ionio,CZ,http://www.comune.santaninfa.tp.it,2165.0,Calabria
San Pietro a Maida,CZ,https://www.comune.sanpietroamaida.cz.it/,4103.0,Calabria
Torviscosa,UD,http://www.comune.torviscosa.ud.it/,2829.0,Friuli-Venezia Giulia
Tronzano Vercellese,VC,http://www.comune.tronzanovercellese.vc.it,3483.0,Piemonte
Trino,VC,http://www.comune.trino.vc.it/it/amministrazione/default.aspx,7085.0,Piemonte
Massarosa,LU,http://www.comune.massarosa.lu.it/,22430.0,Toscana
Castelnuovo di Garfagnana,LU,http://www.castelnuovodigarfagnana.info,5936.0,Toscana
Neviano,LE,http://www.comune.neviano.le.it/,5228.0,Puglia
Leverano,LE,http://www.comune.leverano.le.it/,14145.0,Puglia
Solagna,VI,http://www.comune.solagna.vi.it/,1875.0,Veneto
Borso del Grappa,TV,http://www.comune.borsodelgrappa.tv.it,5955.0,Veneto
Casier,TV,http://www.comune.casier.tv.it,11412.0,Veneto
Sarno,SA,http://www.comune.sarno.sa.it,31625.0,Campania
Scala,SA,http://www.comune.scala.sa.it,1516.0,Campania
Sorgà,VR,http://www.comune.sorga.vr.it/,3019.0,Veneto
Sona,VR,http://www.comune.sona.vr.it/,17694.0,Veneto
Barbona,PD,http://www.comunebarbona.pd.it,648.0,Veneto
Porto Tolle,RO,http://www.comune.portotolle.ro.it/,9663.0,Veneto
Bee,VB,http://www.comune.bee.vb.it,756.0,Piemonte
Falmenta,VB,http://www.vallecannobina.it/falmenta.asp?m=1&v=1&mco=1&comune=2,127.0,provincia del Verbano-Cusio-Ossola
Cannobio,VB,http://www.cannobio.net,5190.0,Piemonte
Sternatia,LE,http://www.comune.sternatia.le.it/,2261.0,Puglia
Squinzano,LE,http://www.comune.squinzano.le.it/,14031.0,Puglia
Atella,PZ,http://www.comune.atella.pz.it/,3829.0,Basilicata
Anzi,PZ,http://www.comune.anzi.pz.it/,1648.0,Basilicata
Forni di Sotto,UD,http://www.comune.fornidisotto.ud.it,583.0,Friuli-Venezia Giulia
Sutri,VT,http://www.comunesutri.it/,6643.0,Lazio
Tuscania,VT,http://www.comune.tuscania.vt.it,8369.0,Lazio
Grimacco,UD,http://www.comune.grimacco.ud.it,334.0,Friuli-Venezia Giulia
Caraffa di Catanzaro,CZ,http://www.comune.caraffadicatanzaro.cz.it,1814.0,Calabria
Lamezia Terme,CZ,http://www.comune.lamezia-terme.cz.it/,70834.0,Calabria
