city,province,site,population,region
Este,PD,http://www.comune.este.pd.it/,16364.0,Veneto
Vescovana,PD,http://www.comune.vescovana.pd.it/,1810.0,Veneto
Calliano,AT,http://www.comune.calliano.at.it/,1271.0,Piemonte
Castagnole delle Lanze,AT,http://www.comune.castagnoledellelanze.at.it,3770.0,Piemonte
Duino-Aurisina,TS,http://www.comune.duino-aurisina.ts.it/,8480.0,Friuli-Venezia Giulia
Moasca,AT,http://www.comune.moasca.at.it,492.0,Piemonte
Monastero Bormida,AT,http://www.comune.monasterobormida.at.it,934.0,Piemonte
Monrupino,TS,http://www.monrupino-repentabor.it,883.0,Italia
Castelletto Monferrato,AL,http://www.comune.castelli.te.it,1526.0,Piemonte
Castelspina,AL,http://www.comune.castelspina.al.it,418.0,Piemonte
Camino,AL,http://www.comune.camino.al.it,769.0,Piemonte
Carpeneto,AL,http://www.comune.carpeneto.al.it/,977.0,Piemonte
Parma,PR,http://www.comune.parma.it,195687.0,Emilia-Romagna
Amaro,UD,http://www.comune.amaro.ud.it,857.0,Friuli-Venezia Giulia
Vivaro,PN,http://www.comune.vivaro.pn.it,1343.0,Friuli-Venezia Giulia
Cartosio,AL,http://www.comune.cartosio.al.it/,750.0,Piemonte
Casasco,AL,http://www.comune.casasco.al.it/,137.0,Piemonte
Castelnuovo Don Bosco,AT,http://www.comune.castelnuovodonbosco.at.it,3195.0,Piemonte
Cessole,AT,http://www.comune.cessole.at.it,402.0,Piemonte
Erbé,VR,http://www.comune.erbe.vr.it/,1923.0,Veneto
Roncà,VR,http://www.comune.ronca.vr.it,3833.0,Veneto
Morbello,AL,http://www.comune.morbello.al.it/,423.0,Piemonte
Ottiglio,AL,http://www.comune.ottiglio.al.it/,626.0,Piemonte
Potenza,PZ,http://www.comune.potenza.it/,67211.0,Basilicata
Reggiolo,RE,http://www.comune.reggiolo.re.it/,9110.0,Emilia-Romagna
Grauno,TN,http://www.comunegrauno.it,,Trentino-Alto Adige
Ampezzo,UD,http://www.comune.ampezzo.ud.it/,983.0,Italia
Mira,VE,http://www.comune.mira.ve.it/comuneMira/index.do,38573.0,Veneto
Grauno,TN,http://www.comunegrauno.it,,provincia autonoma di Trento
San Paolo Solbrito,AT,https://www.comune.sanpaolosolbrito.at.it/it,1180.0,Piemonte
Vinchio,AT,http://www.comune.vinchio.at.it,578.0,Piemonte
Crocetta del Montello,TV,http://www.comune.crocetta.tv.it,6106.0,Veneto
Follina,TV,http://www.comune.follina.tv.it,3814.0,Veneto
Siena,SI,http://www.comune.siena.it/,53901.0,Toscana
Gorizia,GO,http://www.comune.gorizia.it,34411.0,Friuli-Venezia Giulia
Quaranti,AT,http://www.comune.quaranti.at.it,173.0,Piemonte
Rocca d'Arazzo,AT,http://www.comune.roccadarazzo.at.it/,905.0,Piemonte
Montechiaro d'Asti,AT,http://www.montechiaro.info,1290.0,Piemonte
Costigliole d'Asti,AT,http://www.comune.costigliole.at.it,5822.0,Piemonte
Cunico,AT,http://www.comune.cunico.at.it/,484.0,Piemonte
Andorno Micca,BI,http://www.comune.andornomicca.bi.it,3218.0,Piemonte
Brusnengo,BI,http://www.comunebrusnengo.it,2036.0,Piemonte
Monteferrante,CH,http://www.comune.monteferrante.ch.it,123.0,Abruzzo
Benevello,CN,http://www.comune.benevello.cn.it,486.0,Piemonte
Castelmagno,CN,http://www.comune.castelmagno.cn.it,61.0,Piemonte
Velezzo Lomellina,PV,http://www.comune.velezzolomellina.pv.it,102.0,Lombardia
Cremolino,AL,http://www.comune.cremolino.al.it/,1076.0,Piemonte
Monzambano,MN,http://www.monzambano.gov.it/,4877.0,Lombardia
Francavilla Bisio,AL,http://www.francavillabisio.com/,508.0,Piemonte
Viadana,MN,http://www.comune.viadana.mn.it/,20044.0,Lombardia
Dolzago,LC,http://www.comune.dolzago.lecco.it/,2515.0,Lombardia
Cologna Veneta,VR,http://www.comune.cologna-veneta.vr.it/,8468.0,Veneto
Rescaldina,MI,http://www.comune.rescaldina.mi.it/,14185.0,Lombardia
Isola Rizza,VR,https://comune.isolarizza.vr.it/,3222.0,Veneto
Borgomale,CN,http://www.comune.borgomale.cn.it/,388.0,Piemonte
Bosia,CN,http://www.comune.bosia.cn.it,180.0,Piemonte
Roncone,TN,http://www.comune.roncone.tn.it,,Trentino-Alto Adige
Rabbi,TN,http://www.comune.rabbi.tn.it/,1363.0,Trentino-Alto Adige
Carema,TO,http://www.comune.carema.to.it/,771.0,Piemonte
Terlago,TN,http://www.comune.terlago.tn.it,,provincia autonoma di Trento
Ceresole d'Alba,CN,http://www.comune.ceresoledalba.cn.it/,2067.0,Piemonte
Costigliole Saluzzo,CN,http://www.comune.costigliolesaluzzo.cn.it,3343.0,Piemonte
Cella Monte,AL,http://www.comunecellamonte.it/,504.0,Piemonte
Coniolo,AL,http://www.comune.coniolo.al.it/,461.0,Piemonte
Cattolica Eraclea,AG,http://www.comune.cattolicaeraclea.ag.it/,3665.0,Sicilia
Cavallino-Treporti,VE,http://www.comune.cavallinotreporti.ve.it,13563.0,Veneto
Motta Visconti,MI,http://www.comune.mottavisconti.mi.it,7980.0,Lombardia
Grondona,AL,http://www.comune.grondona.al.it/,492.0,Piemonte
Occhieppo Superiore,BI,http://www.comune.occhieppo-superiore.bi.it,2728.0,Piemonte
Valle San Nicolao,BI,http://www.comune.valledicasies.bz.it/system/web/default.aspx?sprache=3,1004.0,Piemonte
Terlago,TN,http://www.comune.terlago.tn.it,,Trentino-Alto Adige
Cardè,CN,http://www.comune.carde.cn.it/,1126.0,Piemonte
Caraglio,CN,http://www.comune.caraglio.cn.it,6782.0,Piemonte
Alatri,FR,http://www.comune.alatri.fr.it,28763.0,Lazio
Bruzolo,TO,http://www.comune.bruzolo.to.it,1526.0,Piemonte
Castel di Sangro,AQ,http://www.comune.casteldisangro.aq.it/,6705.0,Abruzzo
Candelo,BI,http://www.comune.candelo.bi.it,7548.0,Piemonte
Donato,BI,http://www.comune.donato.bi.it/,707.0,Piemonte
Ponzone,AL,http://www.comune.ponzone.al.it,1003.0,Piemonte
Ricaldone,AL,http://www.comunericaldone.it,657.0,Piemonte
Borgaro Torinese,TO,http://www.comune.borgaro-torinese.to.it/,11931.0,Piemonte
Castelnuovo Nigra,TO,http://www.comune.castelnuovo-di-garfagnana.lu.it,416.0,Piemonte
Capestrano,AQ,http://www.comunedicapestrano.it,897.0,Abruzzo
Aggius,SS,http://www.comuneaggius.gov.it,1482.0,Sardegna
Castellafiume,AQ,http://www.comune.castellafiume.aq.it/,1092.0,Abruzzo
Cocullo,AQ,http://www.comune.cocullo.aq.it/,219.0,Abruzzo
Sezzadio,AL,http://www.comune.sezzadio.al.gov.it/,1243.0,Piemonte
Solonghello,AL,http://www.comune.solonghello.al.it/,217.0,Piemonte
Candiolo,TO,http://www.comune.candiolo.torino.it/,5644.0,Piemonte
Pavia,PV,http://www.comune.pv.it,72773.0,Lombardia
Bari Sardo,NU,http://www.comunedibarisardo.gov.it/,3993.0,Sardegna
Calvignano,PV,http://www.comune.calvignano.pv.it/,114.0,Lombardia
San Daniele Po,CR,http://www.comune.sandanielepo.cr.it/,1365.0,Lombardia
Derovere,CR,http://www.comune.derovere.cr.it,303.0,Lombardia
Arzana,NU,http://www.comunediarzana.it,2430.0,Sardegna
Alpette,TO,http://www.comune.alpette.to.it/,248.0,Piemonte
Serravalle a Po,MN,http://www.comune.serravallesesia.vc.it,1497.0,Lombardia
Cambiago,MI,http://www.comune.cambiago.mi.it/,6954.0,Lombardia
Dresano,MI,http://www.comune.dresano.mi.it/,3047.0,Lombardia
Molare,AL,http://www.comune.molare.al.it,2117.0,Piemonte
Montegioco,AL,http://www.comune.montegioco.al.it/,325.0,Piemonte
Sporminore,TN,http://www.comunesporminore.it,707.0,Trentino-Alto Adige
Torri del Benaco,VR,http://www.comune.torridelbenaco.vr.it/,3040.0,Veneto
Ceres,TO,http://www.comune.ceres.to.it,1036.0,Piemonte
La Spezia,SP,http://www.comune.sp.it,93311.0,Liguria
Adrano,CT,http://www.comune.adrano.ct.it/,35633.0,Sicilia
Villa Celiera,PE,http://www.comune.villaceliera.pe.it/,652.0,Abruzzo
Sant'Agata Fossili,AL,http://www.comune.santagatafossili.al.it/,404.0,Piemonte
Sardigliano,AL,http://www.comune.sardigliano.al.it/,406.0,Piemonte
Penne,PE,http://www.comune.penne.pe.it,12113.0,Abruzzo
Roccamorice,PE,http://www.comune.roccamorice.pe.it,930.0,Abruzzo
Cumignano sul Naviglio,CR,https://www.comune.cumignano.cr.it,450.0,Lombardia
Gonzaga,MN,http://www.comune.gonzaga.mn.it/,9103.0,Lombardia
Perosa Canavese,TO,http://www.comune.perosa-canavese.to.it/,530.0,Piemonte
Introzzo,LC,,119.0,provincia di Lecco
Crespiatica,LO,http://www.comune.crespiatica.lo.it,2286.0,Lombardia
Commessaggio,MN,http://www.comune.commessaggio.mn.it/,1108.0,Lombardia
Acireale,CT,http://www.comune.acireale.ct.it//,52269.0,Sicilia
Rignano Garganico,FG,http://www.comune.rignanogarganico.fg.it,2017.0,Puglia
Rignano Garganico,FG,http://www.rignanonews.com,2017.0,Puglia
Rignano Garganico,FG,http://www.rignanonostra.it,2017.0,Puglia
Introzzo,LC,,119.0,Lombardia
Cappella Cantone,CR,http://www.comune.cappellacantone.cr.it,555.0,Lombardia
Oggiono,LC,http://www.comune.oggiono.lc.it/,9075.0,Lombardia
Dorzano,BI,http://www.comune.dorzano.bi.it/,520.0,Piemonte
Mosso,BI,http://www.comune.mosso.bi.it,1485.0,Piemonte
Nomaglio,TO,http://www.comune.nomaglio.to.it,281.0,Piemonte
Salza di Pinerolo,TO,http://www.comune.salzadipinerolo.to.it,75.0,Piemonte
Novello,CN,http://www.comune.novello.cn.it/,983.0,Piemonte
Pezzolo Valle Uzzone,CN,http://www.comune.pezzolovalleuzzone.cn.it,353.0,Piemonte
Baratili San Pietro,OR,http://www.comune.baratilisanpietro.or.it,1312.0,Sardegna
Bosa,OR,http://www.comune.bosa.or.it,7927.0,Sardegna
Illasi,VR,http://www.comune.illasi.vr.it,5243.0,Veneto
Cogollo del Cengio,VI,http://www.comune.cogollodelcengio.vi.it/,3255.0,Veneto
Rosta,TO,http://www.comune.rosta.to.it,4960.0,Piemonte
Isolabella,TO,http://www.comune.isolabella.to.it,383.0,Piemonte
Spineto Scrivia,AL,http://www.comune.spinetoscrivia.al.it/,351.0,Piemonte
Briaglia,CN,http://comune.briaglia.cn.it/,309.0,Piemonte
Boves,CN,http://www.comune.boves.cn.it,9788.0,Piemonte
Caprauna,CN,http://www.comune.caprauna.cn.it/,104.0,Piemonte
Magliano Alpi,CN,http://www.comune.maglianoalpi.cn.it,2206.0,Piemonte
Marene,CN,http://www.comune.marene.cn.it/,3330.0,Piemonte
Trinità d'Agultu e Vignola,SS,http://www.comuneditrinita.it/,2227.0,Sardegna
Montaldo di Mondovì,CN,http://comune.montaldodimondovi.cn.it/,562.0,Piemonte
Neviglie,CN,http://www.comune.neviglie.cn.it/,375.0,Piemonte
Sale delle Langhe,CN,http://www.comune.saledellelanghe.cn.it,519.0,Piemonte
Sanfront,CN,http://www.comune.sanfront.cn.it/,2354.0,Piemonte
Sfruz,TN,http://www.comune.sfruz.tn.it,347.0,Trentino-Alto Adige
San Lorenzo in Banale,TN,http://www.comune.sanlorenzodorsino.tn.it/,,Trentino-Alto Adige
Moiola,CN,http://www.comune.moiola.cn.it,232.0,Piemonte
Mombarcaro,CN,http://www.comune.mombarcaro.cn.it/,255.0,Piemonte
Curon Venosta,BZ,http://www.gemeinde.graun.bz.it,2381.0,Trentino-Alto Adige
Dairago,MI,http://www.comune.dairago.mi.it,6420.0,Lombardia
San Lorenzo in Banale,TN,http://www.comune.sanlorenzodorsino.tn.it/,,provincia autonoma di Trento
Montalenghe,TO,http://www.comune.montalenghe.to.it/,997.0,Piemonte
Nole,TO,http://www.comune.nole.to.it/,6895.0,Piemonte
Bleggio Inferiore,,http://www.comune.bleggioinferiore.tn.it,1084.0,provincia autonoma di Trento
Barone Canavese,TO,http://www.comune.barone.to.it,578.0,Piemonte
Farindola,PE,http://www.comune.farindola.pe.it,1456.0,Abruzzo
Vanzaghello,MI,http://www.comune.vanzaghello.mi.it,5389.0,Lombardia
Casteldidone,CR,http://www.comune.casteldidone.cr.it,565.0,Lombardia
Paderno Dugnano,MI,http://www.comune.paderno-dugnano.mi.it,46701.0,Lombardia
Sciolze,TO,http://www.comune.sciolze.to.it,1453.0,Piemonte
Nosate,MI,http://www.comune.nosate.mi.it/,667.0,Lombardia
Rho,MI,http://www.comune.rho.mi.it/,50904.0,Lombardia
Ballabio,LC,http://www.comune.ballabio.lc.it/,4052.0,Lombardia
Assolo,OR,http://www.comune.assolo.or.it,376.0,Sardegna
Bellante,TE,http://www.comune.bellante.te.it,6997.0,Abruzzo
Castel Castagna,TE,http://www.cmgransasso.it/castelcastagna/,490.0,Abruzzo
Romano Canavese,TO,http://www.comune.romanocanavese.to.it,2657.0,Piemonte
Frassineto Po,AL,http://www.comune.frassinetopo.al.it,1411.0,Piemonte
Gavazzana,AL,http://www.comune.gavazzana.al.it/,173.0,Piemonte
Nereto,TE,http://www.comune.nereto.te.it,5342.0,Abruzzo
Notaresco,TE,http://www.comune.notaresco.te.it,6702.0,Abruzzo
Fortezza,BZ,http://www.gemeindefranzensfeste.eu,999.0,Trentino-Alto Adige
Castiraga Vidardo,LO,https://www.comune.castiragavidardo.lo.it/,2836.0,Lombardia
Garlate,LC,http://www.comune.garlate.lc.it/php/index.php,2731.0,Lombardia
Maleo,LO,http://www.comune.maleo.lo.it,3133.0,Lombardia
Torre de' Busi,BG,http://www.comune.torre-debusi.bg.it/,2077.0,Lombardia
Valgreghentino,LC,http://www.comune.valgreghentino.lc.it/,3453.0,Lombardia
Fano,PU,http://www.comune.fano.pu.it,60978.0,Marche
Ulassai,NU,http://www.comune.ulassai.og.it/,1448.0,Sardegna
Spino d’Adda,CR,,6873.0,Lombardia
Ginosa,TA,http://www.comune.ginosa.ta.it,22430.0,Puglia
Avetrana,TA,http://www.comune.avetrana.ta.it/,6604.0,Puglia
Brennero,BZ,http://www.comunebrennero.eu,2184.0,Trentino-Alto Adige
Verano,BZ,http://www.gemeinde.voeran.bz.it,952.0,Trentino-Alto Adige
Treiso,CN,http://www.comune.treiso.cn.it/,799.0,Piemonte
Trezzo Tinella,CN,http://www.comune.trezzotinella.cn.it,317.0,Piemonte
Chivasso,TO,http://www.comune.chivasso.to.it,26730.0,Piemonte
Cintano,TO,http://www.comune.cintano.to.it/,259.0,Piemonte
Favria,TO,http://www.comune.favria.to.it/portal/home.php,5186.0,Piemonte
Moncalieri,TO,http://www.comune.moncalieri.to.it,57234.0,Piemonte
Arluno,MI,http://www.comune.arluno.mi.it,12000.0,Lombardia
Priero,CN,http://www.comunepriero.cn.it/,516.0,Piemonte
Racconigi,CN,http://www.comune.racconigi.cn.it,9958.0,Piemonte
Garbagna Novarese,NO,http://www.comune.garbagna.no.it,1431.0,Piemonte
Ghemme,NO,http://www.comune.ghemme.novara.it,3573.0,Piemonte
Monti,SS,http://www.comune.monti.ss.it/utente/index.asp,2413.0,Sardegna
Elini,NU,http://www.comunedielini.gov.it/,562.0,Sardegna
San Michele Salentino,BR,http://www.comune.sanmichelesal.br.it/,6258.0,Puglia
Cisternino,BR,http://www.comune.cisternino.br.it/,11553.0,Puglia
Casamassima,BA,http://www.comune.casamassima.ba.it/,19777.0,Puglia
San Paolo di Civitate,FG,http://www.comune.sanpaolodicivitate.fg.it/,5740.0,Puglia
San Nicandro Garganico,FG,http://www.comune.sannicandrogarganico.fg.it,15224.0,Puglia
Stornarella,FG,http://www.comune.stornarella.fg.it/,5344.0,Puglia
Troia,FG,http://www.comune.troia.fg.it,7100.0,Puglia
Guagnano,LE,http://www.comune.guagnano.le.it/,5681.0,Puglia
Leporano,TA,http://www.comuneleporano.it/,8085.0,Puglia
Martina Franca,TA,http://www.comunemartinafranca.gov.it,48786.0,Puglia
Caprarica di Lecce,LE,http://www.comune.caprarica.le.it/,2411.0,Puglia
Tarvisio,UD,http://www.comuneditarvisio.com,4224.0,Friuli-Venezia Giulia
Pescarolo ed Uniti,CR,http://www.comune.pescaroloeduniti.cr.it/,1521.0,Lombardia
Ossona,MI,http://www.comunediossona.it/,4275.0,Lombardia
Quintano,CR,https://www.comune.quintano.cr.it/,913.0,Lombardia
Formigara,CR,http://www.comune.formigara.cr.it/,1031.0,Lombardia
Formigara,CR,http://www.comune.formigara.cr.it/,1098.0,Lombardia
Carenno,LC,http://www.comune.carenno.lc.it,1474.0,Lombardia
Spoleto,PG,http://www.comune.spoleto.pg.it/,37964.0,Umbria
Trevi,PG,http://www.comune.trevi.pg.it/,8363.0,Umbria
Claviere,TO,http://www.comune.claviere.to.it/,209.0,Piemonte
Druento,TO,http://www.comune.druento.to.it/,4521.0,Piemonte
San Giorgio Canavese,TO,http://www.comune.sangiorgiocanavese.to.it,2570.0,Piemonte
Govone,CN,http://www.comune.govone.cn.it,2235.0,Piemonte
Macra,CN,http://www.comune.macra.cn.it/,58.0,Piemonte
Torre Bormida,CN,http://comune.torrebormida.cn.it/,179.0,Piemonte
San Maurizio Canavese,TO,http://www.comune.san-maurizio-canavese.to.it/,10312.0,Piemonte
Gavazzana,AL,http://www.comune.gavazzana.al.it/,173.0,provincia di Alessandria
Guardamiglio,LO,http://www.comune.guardamiglio.lo.it,2664.0,Lombardia
Scano di Montiferro,OR,https://www.comune.scanodimontiferro.or.it,1493.0,Sardegna
Siamanna,OR,http://www.comune.siamanna.or.it,809.0,Sardegna
Terralba,OR,http://www.comune.terralba.or.it/Index.htm,10196.0,Sardegna
Spoltore,PE,http://www.comune.spoltore.pe.it,19378.0,Abruzzo
Serramonacesca,PE,http://www.comune.serramonacesca.pe.it/,552.0,Abruzzo
Avelengo,BZ,http://www.gemeinde.hafling.bz.it,770.0,Trentino-Alto Adige
Peio,TN,http://www.comune.peio.tn.it,1842.0,Trentino-Alto Adige
Pinzolo,TN,http://www.comune.pinzolo.tn.it/,3045.0,Trentino-Alto Adige
Paulilatino,OR,http://www.comune.paulilatino.or.it/,2207.0,Sardegna
Siamaggiore,OR,http://www.comune.siamaggiore.or.it,926.0,Sardegna
Campolongo sul Brenta,VI,http://www.comune.campolongosulbrenta.vi.it,799.0,provincia di Vicenza
Mara,SS,http://www.comune.mara.ss.it,598.0,Sardegna
Pattada,SS,http://www.comune.pattada.ss.it,3048.0,Sardegna
Robilante,CN,http://www.comune.robilante.cn.it,2285.0,Piemonte
Roccabruna,CN,http://www.comune.roccabruna.cn.it,1565.0,Piemonte
Serravalle Sesia,VC,http://www.comune.serravallesesia.vc.it/,4948.0,Piemonte
Grosseto,GR,https://new.comune.grosseto.it/web/,82036.0,Toscana
Bellinzago Novarese,NO,http://www.comune.bellinzago.no.it,9646.0,Piemonte
Biandrate,NO,http://www.comune.biandrate.no.it/,1298.0,Piemonte
Cameri,NO,http://www.comune.cameri.no.it/,10907.0,Piemonte
Vibo Valentia,VV,http://www.comune.vibovalentia.vv.it,33642.0,Calabria
Bisceglie,BT,http://www.comune.bisceglie.bt.it/,55385.0,Puglia
Triei,NU,http://www.comune.triei.ogliastra.it,1132.0,Sardegna
Ussassai,NU,http://www.comune.ussassai.og.it,556.0,Sardegna
Casalmaiocco,LO,http://www.comune.casalmaiocco.lo.it/,3190.0,Lombardia
Cavacurta,LO,http://www.comune.cavacurta.lo.it/,848.0,Lombardia
Antrona Schieranco,VB,http://www.comune.antronaschieranco.vb.it/,426.0,Piemonte
Sabbioneta,MN,http://www.comune.sabbioneta.mn.it,4159.0,Lombardia
Segrate,MI,http://www.comune.segrate.mi.it,35492.0,Lombardia
Biccari,FG,http://www.comune.biccari.fg.it/,2760.0,Puglia
Casalnuovo Monterotaro,FG,http://www.comune.casalnuovomonterotaro.fg.it,1507.0,Puglia
Ittireddu,SS,http://www.comune.ittireddu.ss.it,500.0,Sardegna
Erula,SS,http://www.comunedierula.it,733.0,Sardegna
Oristano,OR,http://www.comune.oristano.it,31671.0,Sardegna
Lesina,FG,http://www.comunelesina.it/,6347.0,Puglia
Conselve,PD,http://www.comune.conselve.pd.it,10224.0,Veneto
Loreo,RO,http://www.comune.loreo.ro.it,3459.0,Veneto
Noventa Padovana,PD,http://www.comune.noventa.pd.it/,11423.0,Veneto
Arcade,TV,http://www.comune.arcade.tv.it,4550.0,Veneto
Megliadino San Fidenzio,PD,http://www.comune.megliadinosanfidenzio.pd.it,1928.0,Veneto
Vazzola,TV,http://www.comune.vazzola.tv.it/,6972.0,Veneto
Orgiano,VI,http://www.comune.orgiano.vi.it,3042.0,Veneto
Castel d'Azzano,VR,http://www.comune.castel-d-azzano.vr.it/,11847.0,Veneto
Campolongo sul Brenta,VI,http://www.comune.campolongosulbrenta.vi.it,799.0,Veneto
Sauze d'Oulx,TO,http://www.comune.sauzedoulx.to.it/,1081.0,Piemonte
Lauregno,BZ,http://www.gemeinde.laurein.bz.it,338.0,Trentino-Alto Adige
Magrè sulla Strada del Vino,BZ,https://www.comune.magre.bz.it/it/Amministrazione/Municipio/Contatti_e_orari_di_apertura,1295.0,Trentino-Alto Adige
Marlengo,BZ,http://www.gemeinde.marling.bz.it/,2710.0,Trentino-Alto Adige
Buccheri,SR,http://www.comunedibuccheri.it/,1951.0,Sicilia
Bessude,SS,http://www.comune.bessude.ss.it,410.0,Sardegna
Germagno,VB,http://www.comune.germagno.vb.it/,192.0,Piemonte
Omegna,VB,http://www.comune.omegna.vb.it,15285.0,Piemonte
Omegna,VB,http://www.visitomegna.it,15285.0,Piemonte
Taviano,LE,http://www.comune.taviano.le.it/,11972.0,Puglia
Bagnone,MS,http://www.comune.bagnone.ms.it,1775.0,Toscana
Casola in Lunigiana,MS,http://www.comune.casolavalsenio.ra.it,1020.0,Toscana
Cefalà Diana,PA,http://www.comune.cefaladiana.pa.it,1030.0,Sicilia
Miggiano,LE,http://www.comune.miggiano.le.it/,3528.0,Puglia
Lizzanello,LE,http://www.comune.lizzanello.le.it/,11934.0,Puglia
Villarbasse,TO,http://www.comune.villarbasse.to.it/default.htm,3455.0,Piemonte
Ollastra,OR,http://www.comunediollastra.it,1212.0,Sardegna
Narbolia,OR,http://www.comune.narbolia.or.it,1783.0,Sardegna
Gallio,VI,http://www.comune.gallio.vi.it/,2389.0,Veneto
Posina,VI,http://www.comune.posina.vi.it/,557.0,Veneto
Altivole,TV,http://www.comune.altivole.tv.it,6959.0,Veneto
Mandello Vitta,NO,http://www.comune.mandellovitta.no.it/,234.0,Piemonte
Veruno,NO,http://www.comune.veruno.no.it,1857.0,Piemonte
Mojo Alcantara,ME,http://www.comune.moioalcantara.me.it/,710.0,Sicilia
Serradifalco,CL,http://www.comune.serradifalco.cl.it,5959.0,Sicilia
Vallelunga Pratameno,CL,http://www.comune.vallelunga.cl.it,3384.0,Sicilia
Megliadino San Fidenzio,PD,http://www.comune.megliadinosanfidenzio.pd.it,1928.0,provincia di Padova
Baceno,VB,http://www.comune.baceno.vb.it,900.0,Piemonte
Racale,LE,http://www.comune.racale.le.it/,11011.0,Puglia
San Cesario di Lecce,LE,http://www.comunesancesariodilecce.it/index.htm,8169.0,Puglia
Trinitapoli,BT,http://www.comune.trinitapoli.fg.it,14649.0,Puglia
Terranova di Pollino,PZ,http://www.comune.terranovadipollino.pz.it,1141.0,Basilicata
Misterbianco,CT,http://www.comune.misterbianco.ct.it,49992.0,Sicilia
Macerata,MC,http://www.comune.macerata.it,41776.0,Marche
Borgosesia,VC,http://www.comune.borgosesia.vercelli.it,12676.0,Piemonte
Quarona,VC,http://www.comune.quarona.vc.it,4063.0,Piemonte
Pistoia,PT,https://www.comune.pistoia.it/,90195.0,Toscana
Castelbello-Ciardes,BZ,http://www.comune.castelbello-ciardes.bz.it/system/web/default.aspx?sprache=3,2311.0,Trentino-Alto Adige
Cortona,AR,http://www.comune.cortona.ar.it/,22057.0,Toscana
Laterina,AR,http://www.laterina.it,3486.0,Toscana
Sestino,AR,http://www.comunedisestino.it,1309.0,Toscana
Zeri,MS,http://www.comune.zeri.ms.it/,1057.0,Toscana
Laerru,SS,http://www.comunelaerru.ss.it,895.0,Sardegna
Poppi,AR,http://www.comune.poppi.ar.it/,6153.0,Toscana
Scorrano,LE,http://www.comune.scorrano.le.it,6974.0,Puglia
Taurisano,LE,http://www.comune.taurisano.le.it,11770.0,Puglia
Fossò,VE,http://www.comune.fosso.ve.it/,7041.0,Veneto
Sossano,VI,http://www.comune.sossano.vi.it,4296.0,Veneto
Tresnuraghes,OR,http://www.comune.tresnuraghes.or.it,1163.0,Sardegna
Galbiate,LC,http://www.comune.galbiate.lc.it,8545.0,Lombardia
Bonemerse,CR,http://www.comune.bonemerse.cr.it/,1528.0,Lombardia
Casteltermini,AG,http://www.comune.casteltermini.ag.it/,7976.0,Sicilia
Trevignano,TV,http://www.comune.trevignano.tv.it,10759.0,Veneto
Romano d'Ezzelino,VI,http://www.comune.romano.vi.it/,14228.0,Veneto
Romans d'Isonzo,GO,http://www.comune.romans.go.it,3717.0,Friuli-Venezia Giulia
Cureggio,NO,http://www.comune.cureggio.no.it,2630.0,Piemonte
Cossogno,VB,http://www.comune.cossogno.vb.it/,664.0,Piemonte
Fontaneto d'Agogna,NO,http://www.comune.fontaneto.no.it,2651.0,Piemonte
Laterina,AR,http://www.laterina.it,3486.0,provincia di Arezzo
Grammichele,CT,http://www.comune.grammichele.ct.it/hh/index.php,13267.0,Sicilia
Trissino,VI,http://www.comune.trissino.vi.it/,8709.0,Veneto
Nove,VI,http://www.comune.nove.vi.it,4966.0,Veneto
Badia Calavena,VR,http://www.comune.badiacalavena.vr.it/,2623.0,Veneto
Meduna di Livenza,TV,http://www.comune.medunadilivenza.tv.it/,2912.0,Veneto
Campodoro,PD,http://www.comune.campodoro.pd.it,2652.0,Veneto
Grantorto,PD,http://www.comune.grantorto.pd.it/,4591.0,Veneto
Campolongo Maggiore,VE,http://www.comune.campolongo.ve.it/,10678.0,Veneto
Iglesias,SU,http://www.comune.iglesias.ca.it/,26784.0,Sardegna
Colobraro,MT,http://www.comune.colobraro.mt.it/,1203.0,Basilicata
Piacenza,PC,http://www.comune.piacenza.it,103082.0,Emilia-Romagna
Niscemi,CL,http://www.comune.niscemi.cl.it/,26946.0,Sicilia
Regalbuto,EN,http://www.comune.regalbuto.en.it,7190.0,Sicilia
Ostiano,CR,http://www.comune.ostiano.cr.it/,2927.0,Lombardia
Agnadello,CR,http://www.comune.agnadello.cr.it/,3866.0,Lombardia
Raccuja,ME,http://www.comune.raccuja.me.it,989.0,Sicilia
Petralia Soprana,PA,http://www.comune.petraliasoprana.pa.it,3242.0,Sicilia
Santo Stefano Quisquina,AG,http://www.comune.santostefanoinaspromonte.rc.it,4516.0,Sicilia
Torrenova,ME,http://www.torrenovainrete.com,4446.0,Sicilia
Floresta,ME,http://www.floresta.gov.it/Home.asp,469.0,Sicilia
Valdina,ME,http://www.comune.valdina.me.it,1322.0,Sicilia
Pallanzeno,VB,http://www.comune.pallanzeno.vb.it,1136.0,Piemonte
Premeno,VB,http://www.comune.premeno.vb.it,733.0,Piemonte
Montecastrilli,TR,http://www.comune.montecastrilli.tr.it/,5037.0,Umbria
Campobello di Mazara,TP,http://www.comune.campobellodimazara.tp.it/,11769.0,Sicilia
San Venanzo,TR,http://www.comune.sanvenanzo.tr.it,2192.0,Umbria
Foza,VI,http://www.comune.foza.vi.it/,693.0,Veneto
Tuoro sul Trasimeno,PG,http://www.comune.tuoro-sul-trasimeno.pg.it/,3769.0,Umbria
Umbertide,PG,http://www.comune.umbertide.it/,16530.0,Umbria
Milo,CT,http://www.comunedimilo.ct.it/,1049.0,Sicilia
